都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012025,0191400548,北海道,函館市,地域密着型特別養護老人ホーム谷地頭緑蔭園,チイキミッチャクガタトクベツヨウゴロウジンホームヤチガシラリョクインエン,地域密着型介護老人福祉施設入所者生活介護,北海道函館市谷地頭町23-5,,40.501664000000010,141.296764500000000,0138-26-7771,0138-26-7773,,社会福祉法人　純心福祉会,0191400548,,,0,http://www.js-fukushikai,,,,
012025,0191400696,北海道,函館市,地域密着型介護老人福祉施設サテライト百楽園,チイキミッチャクガタカイゴロウジンフクシシセツサテライトヒャクラクエン,地域密着型介護老人福祉施設入所者生活介護,北海道函館市高丘町3番1号サテライト百楽園,サテライト百楽園,41.788430100000000,140.800724299999960,0138-57-7418,0138-57-7598,9440005000348,社会福祉法人函館厚生院,0191400696,,,29,http://www.koseiin.or.jp,,,,
012025,0191400399,北海道,函館市,地域密着型特別養護老人ホームこうじゅ,チイキミッチャクガタトクベツヨウゴロウジンホームコウジュ,地域密着型介護老人福祉施設入所者生活介護,北海道函館市亀田町７番１号ケアステーションこうじゅ,ケアステーションこうじゅ,41.792288500000000,140.734350700000050,0138-41-5100,0138-41-5109,7440005000382,社会福祉法人　函館鴻寿会,0191400399,,,0,http://www5.ncv.ne.jp/~cs-kouju/,,,,
012025,0191400860,北海道,函館市,地域密着型特別養護老人ホーム志,チイキミッチャクガタトクベツヨウゴロウジンホームココロ,地域密着型介護老人福祉施設入所者生活介護,北海道函館市日吉町４丁目１２番１９号地域密着型特別養護老人ホーム志,地域密着型特別養護老人ホーム志,41.806272100000000,140.790765999999960,0138-53-1121,0138-53-1122,,社会福祉法人結絆の会,0191400860,,,0,http://yuuki-no-kai.com/,,,,
012033,0192000164,北海道,小樽市,特別養護老人ホームラポールゆらぎの里（サテライト型施設）,トクベツヨウゴロウジンホームラポールユラギノサト,地域密着型介護老人福祉施設入所者生活介護,北海道小樽市朝里川温泉２丁目６９３番地６特別養護老人ホーム　ラポールゆらぎの里,特別養護老人ホーム　ラポールゆらぎの里,43.148303800000000,141.040790400000000,0134-54-2221,0134-54-2222,1430005007756,社会福祉法人小樽北勉会,0192000164,,,0,http://www.nakagaki-hp.or.jp/otaru_hokubenkai/,,,,
012033,0192000081,北海道,小樽市,特別養護老人ホーム　ラポール　なんたる　（サテライト型施設）,トクベツヨウゴロウジンホーム　ラポールナンタル,地域密着型介護老人福祉施設入所者生活介護,小樽市若松２ー８ー２０,,43.182548900000000,141.009091799999960,0134-64-1166,0134-64-1180,,社会福祉法人　小樽北勉会,0192000081,,,0,http://www.nakagaki-hp.or.jp/otaru_hokubenkai/,,,,
012041,0192902179,北海道,旭川市,特別養護老人ホーム　緑が丘あさひ園(ユニット型),トクベツヨウゴロウジンホーム　ミドリガオカアサヒエン(ユニットガタ),地域密着型介護老人福祉施設入所者生活介護,北海道旭川市緑が丘東1条2丁目1番21号,,43.728858100000000,142.389432400000030,0166-66-2666,0166-66-2100,7450005000233,社会福祉法人旭川三和会,0192902179,,,20,http://www.asahisanwa.org/,,,,
012041,0192902088,北海道,旭川市,新富宏生苑,シントミコウセイエン,地域密着型介護老人福祉施設入所者生活介護,旭川市新富3条1丁目506番13,,43.785604300000000,142.388068600000000,0166-25-0707,0166-25-0714,6450005000275,社会福祉法人東旭川宏生会,0192902088,,,0,http://www.h-kouseikai.jp,,,,
012041,0192902187,北海道,旭川市,地域密着型　特別養護老人ホーム　養生の杜カムイ,チイキミッチャクガタ　トクベツヨウゴロウジンホーム　ヨウジョウノモリカムイ,地域密着型介護老人福祉施設入所者生活介護,北海道旭川市永山町５丁目１３６番の１,,43.786261600000000,142.432152500000030,0166-47-7730,0166-47-7672,,社会福祉法人　慶友会,0192902187,,,0,http://www.keiyukai-group.com/kamui/,,,,
012084,0195000260,北海道,北見市,地域密着型特別養護老人ホームむつみ,チイキミッチャクガタトクベツヨウゴロウジンホームムツミ,地域密着型介護老人福祉施設入所者生活介護,北見市端野町端野20番2,,43.852558115965630,143.945315007965060,0157-33-4161,0157-33-4162,,社会福祉法人　北見睦会,0195000260,,,29,http://kita-mutsumi.jp,,,,
012084,0195000187,北海道,北見市,特別養護老人ホームこもれびの里みわ,トクベツヨウゴロウジンホームコモレビノサトミワ,地域密着型介護老人福祉施設入所者生活介護,北海道北見市東三輪３丁目２２番地２５,,43.796695100000000,143.862034699999980,0157-68-2131,0157-68-2133,3460305000101,社会福祉法人きたの愛光会,0195000187,,,0,https://www.kitano-aikoukai.com,,,,
012084,0195002969,北海道,北見市,特別養護老人ホームこもれびの里緑ヶ丘,トクベツヨウゴロウジンホームコモレビノサトミドリガオカ,地域密着型介護老人福祉施設入所者生活介護,北海道北見市緑ヶ丘1丁目9番11号,,43.820451400000020,143.871299499999960,0157-57-3716,0157-57-3726,3460305000101,社会福祉法人きたの愛光会,0195002969,,,0,https://www.kitano-aikoukai.com,,,,
012068,0194100376,北海道,釧路市,地域密着型特別養護老人ホーム　湿原の里,チイキミッチャクガタトクベツヨウゴロウジンホーム　シツゲンノサト,地域密着型介護老人福祉施設入所者生活介護,北海道釧路市愛国191番5746,,43.027724247086150,144.400820402160660,0154-64-1200,0154-64-1201,,社会福祉法人　孝仁会,0194100376,,,29,http://www.k-yuwakai.or.jp,,,,
012076,0194600284,北海道,帯広市,地域密着型介護老人福祉施設ななかまど（従来型）,チイキミッチャクガタカイゴロウジンフクシシセツナナカマド（ジュライガタ）,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西16条北1丁目27番地50,,42.932216200000006,143.175927000000000,0155-67-5745,0155-67-5746,7460105000454,社会福祉法人刀圭会,0194600284,,,11,http://toukeikai.or.jp/syafuku/,,,,
012076,0194600292,北海道,帯広市,地域密着型介護老人福祉施設ななかまど（ユニット型）,チイキミッチャクガタカイゴロウジンフクシシセツナナカマド（ユニットガタ）,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西16条北1丁目27番地50,,42.932216200000000,143.175927000000000,0155-67-5745,0155-67-5746,7460105000454,社会福祉法人刀圭会,0194600292,,,18,http://toukeikai.or.jp/syafuku/,,,,
012076,0194600425,北海道,帯広市,地域密着型介護老人福祉施設りんどう,チイキミッチャクガタカイゴロウジンフクシシセツリンドウ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西１６j条北１丁目２７番地１４４,,42.931369100000000,143.175463199999970,0155-67-5759,0155-67-5751,7460105000454,社会福祉法人刀圭会,0194600425,,,,http://toukeikai.or.jp,,,,
012076,0194600433,北海道,帯広市,地域密着型介護老人福祉施設りんどう（ユニット型）,チイキミッチャクガタカイゴロウジンフクシシセツリンドウ（ユニットガタ）,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西16条北1丁目27番地144,,42.931369100000000,143.175463199999970,0155-67-5759,0155-67-5751,7460105000454,社会福祉法人刀圭会,0194600433,,,0,http://toukeikai.or.jp/,,,,
012076,0194600227,北海道,帯広市,地域密着型介護老人福祉施設　にれの木（ユニット型）,チイキミッチャクガタカイゴロウジンフクシシセツ　ニレノキ（ユニットガタ）,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西22条南1丁目11番地13,,42.922318999999990,143.133228000000030,0155-66-5111,0155-66-5115,7460105000454,社会福祉法人刀圭会,0194600227,,,18,http://toukeikai.or.jp/nirenoki.html,,,,
012076,0194600235,北海道,帯広市,地域密着型介護老人福祉施設　にれの木（従来型）,チイキミッチャクガタカイゴロウジンフクシシセツ　ニレノキ（ジュウライガタ）,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西22条南1丁目11番地13,,42.922318999999990,143.133228000000030,0155-66-5111,0155-66-5115,7460105000454,社会福祉法人刀圭会,0194600235,,,0,http://toukeikai.or.jp/nirenoki.html,,,,
012076,0194600300,北海道,帯広市,地域密着型介護老人福祉施設　あいじえん西帯広,チイキミッチャクガタカイゴロウジンフクシシセツ　アイジエンニシオビヒロ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西24条南1丁目33－17,,42.921455000000000,143.120626200000060,0155-61-1800,0155-67-6691,3460105000458,社会福祉法人普仁会,0194600300,,,29,http://fujikai.or.jp/,,,,
012076,0194600219,北海道,帯広市,地域密着型介護老人福祉施設アルペジオ,チイキミッチャクガタカイゴロウジンフクシシセツアルペジオ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市自由が丘5丁目16番地9,,33.791877700000000,130.571871699999970,0155-38-3301,0155-38-3302,,社会福祉法人　光寿会,0194600219,,,29,http://koujyukai.org/,,,,
012076,0194600441,北海道,帯広市,帯広けいせい苑地域密着型介護老人福祉施設いなほ,オビヒロケイセイエンチイキミッチャクガタカイゴロウジンフクシシセツイナホ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市西5条南37丁目1-7,,42.893330700000000,143.200834600000000,0155-49-7700,0155-67-8062,1460105000451,社会福祉法人慧誠会,0194600441,,,0,http://www.keisei-kai.jp,,,,
012076,0194600342,北海道,帯広市,地域密着型介護老人福祉施設杜のそら,チイキミッチャクガタカイゴロウジンフクシシセツモリノソラ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市大空町３丁目１５番地２,,42.876632388459630,143.151517157008330,0155-47-4857,0155-47-4807,1460105000468,社会福祉法人帯広太陽福祉会,0194600342,,,,http://taiyo-fukushi.com/taiyoen/,,,,
012076,0194600375,北海道,帯広市,地域密着型介護老人福祉施設　コムニの里みどりヶ丘,チイキミッチャクガタカイゴロウジンフクシシセツ　コムニノサトミドリガオカ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市緑ヶ丘8丁目1番地32,,42.904278400000000,143.182388400000040,0155-58-6789,0155-58-6300,8460105001848,社会福祉法人博愛会,0194600375,,,0,http://www.hakuaikai.org,,,,
012076,0194600532,北海道,帯広市,地域密着型介護老人福祉施設　奏～かなで～,チイキミッチャクガタカイゴロウジンフクシシセツ　カナデ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市東3条南27丁目4番地,,42.901799800000000,143.213230200000000,0155-26-7131,0155-21-5656,,社会福祉法人　元気の里とかち,0194600532,,,,http://www.genkinosatotokachi.jp/,,,,
012076,0194600177,北海道,帯広市,地域密着型介護老人福祉施設コムニの里おびひろ,チイキミッチャクガタカイゴロウジンフクシシセツコムニノサトオビヒロ,地域密着型介護老人福祉施設入所者生活介護,北海道帯広市東９条南１３丁目２－４,,42.918478900000000,143.221425700000050,0155-20-4567,0155-25-3200,8460105001848,社会福祉法人博愛会,0194600177,,,0,http://www.hakuaikai.org,,,,
012114,0195300017,北海道,網走市,地域密着型介護老人福祉施設　大曲レインボーハイツ,チイキミッチャクガタカイゴロウジンフクシシセツ　オオマガリレインボーハイツ,地域密着型介護老人福祉施設入所者生活介護,北海道網走市大曲2丁目21番5号,,44.010182100000000,144.227482499999950,0152-43-0155,0152-61-0520,,社会福祉法人　網走福祉協会,0195300017,,,18,http://www.rainbow-heights.com,,,,
012114,0195300066,北海道,網走市,地域密着型介護老人福祉施設　向陽ヶ丘レインボーハイツ,チイキミッチャクガタカイゴロウジンフクシシセツ　コウヨウガオカレインボーハイツ,地域密着型介護老人福祉施設入所者生活介護,北海道網走市向陽ヶ丘2丁目1番7号,,44.029997200000000,144.256507800000000,0152-43-6051,0152-43-6073,,社会福祉法人　網走福祉協会,0195300066,,,0,http://www.rainbow-heights.com,,,,
012122,0196400113,北海道,留萌市,地域密着型特別養護老人ホーム萌寿園,チイキミッチャクガタ　トクベツヨウゴロウジンホームホウジュエン,地域密着型介護老人福祉施設入所者生活介護,北海道留萌市沖見町6丁目18番地6,,43.925188600000010,141.643797800000020,0164-56-4005,0164-56-4008,,社会福祉法人　萌寿会,0196400113,,,0,http://hojuenn.org/,,,,
012131,0193600244,北海道,苫小牧市,ケアセンター　しらかばの郷,ケアセンター　シラカバノサト,地域密着型介護老人福祉施設入所者生活介護,苫小牧市しらかば町５丁目５番６号,,42.624333300000000,141.540445800000040,0144-71-1661,0144-71-1662,1430005008837,社会福祉法人苫小牧慈光会,0193600244,,,0,http://www.jikoukai.or.jp/institution/shirakaba-care/,,,,
012131,0193600236,北海道,苫小牧市,地域密着型特別養護老人ホーム　明徳,チイキミッチャクガタトクベツヨウゴロウジンホーム　メイトク,地域密着型介護老人福祉施設入所者生活介護,北海道苫小牧市明徳町４丁目６番２１号,,42.613443500000000,141.488319400000020,0144-61-7087,0144-61-5772,,社会福祉法人ふれんど,0193600236,,,0,http://www.friend.or.jp/,,,,
012131,0193600327,北海道,苫小牧市,地域密着型特別養護老人ホーム花もみじ,チイキミッチャクガタトクベツヨウゴロウジンホームハナモミジ,地域密着型介護老人福祉施設入所者生活介護,北海道苫小牧市松風町2番15号,,42.637827600000000,141.558639800000040,0144-74-3388,0144-74-3390,1430005008853,社会福祉法人緑陽会,0193600327,,,0,http://www.ryokuyoukai.or.jp/,,,,
012050,0193500162,北海道,室蘭市,舟見の杜2014,フナミノモリ２０１４,地域密着型介護老人福祉施設入所者生活介護,北海道室蘭市舟見町1丁目13-3,,42.310652999999990,140.968646800000000,0143-25-7700,0143-25-7701,3430005009759,幸清会,0193500162,,,0,http://www.koseikai-wel.or.jp/,,,,
012157,0196100028,北海道,美唄市,地域密着型特別養護老人ホーム　かなで～る,チイキミッチャクガタトクベツヨウゴロウジンホーム　カナデ～ル,地域密着型介護老人福祉施設入所者生活介護,美唄市東５条北４丁目５番６号,,43.335339900000020,141.874041700000020,0126-63-0320,0126-63-0321,2430005006781,社会福祉法人恵和会,0196100028,,,0,http://www.b-keiwakai.or.jp,,,,
012165,0197300015,北海道,芦別市,芦別慈恵園かざぐるま,アシベツジケイエンカザグルマ,地域密着型介護老人福祉施設入所者生活介護,芦別市北４条西２丁目１２,,43.525478799999990,142.179600700000040,0124-24-6333,0124-24-6336,,芦別慈恵園,0197300015,,,0,http://www.ashibetsu.or.jp/,,,,
012173,0191000363,北海道,江別市,江別地域複合型ライフケアセンター夢つむぎ,エベツチイキフクゴウガタライフケアセンターユメツムギ,地域密着型介護老人福祉施設入所者生活介護,北海道江別市ゆめみ野東町1番地5,,43.104081336471864,141.565223027786230,011-391-2110,011-381-6600,,社会福祉法人北叡会,0191000363,,,,http://hokueikai.or.jp/,,,,
012173,0191000272,北海道,江別市,地域密着型介護老人福祉施設かっこうの杜,チイキミッチャクガタカイゴロウジンフクシシセツカッコウノモリ,地域密着型介護老人福祉施設入所者生活介護,北海道江別市西野幌９２番地１６,,43.076503163204470,141.541255567736800,011-391-9111,011-380-3555,4430005011664,社会福祉法人英寿会,0191000272,,,29,https://www.eijukai.org,,,,
012203,0193200144,北海道,士別市,地域密着型特別養護老人ホーム朝日美土里ハイツ,チイキミッチャクガタトクベツヨウゴロウジンホーム　アサヒミドリハイツ,地域密着型介護老人福祉施設入所者生活介護,北海道士別市朝日町中央4029番地,,44.117621455651310,142.591758534254500,0165-28-2201,0165-28-3453,5450005002636,社会福祉法人朝日福祉会,0193200144,,,0,http://www.asahifukushi.or.jp/,,,,
012246,0191100114,北海道,千歳市,地域密着型特別養護老人ホーム千歳ふくろうの園,チイキミッチャクガタトクベツヨウゴロウジンホームチトセフクロウノソノ,地域密着型介護老人福祉施設入所者生活介護,北海道千歳市大和4丁目2番4号,,42.820807100000000,141.630736100000030,0123-40-1144,0123-40-1166,1430005006080,社会福祉法人いちはつの会,0191100114,,,29,http://midorino.jp/,,,,
012246,0191100122,北海道,千歳市,地域密着型特別養護老人ホーム千歳ふくろうの園Ⅱ,チイキミッチャクガタトクベツヨウゴロウジンホームチトセフクロウノソノツー,地域密着型介護老人福祉施設入所者生活介護,北海道千歳市大和4丁目2-4,,42.820727500000000,141.630565800000000,0123-49-6688,0123-40-1166,,社会福祉法人いちはつの会,0191100122,,,0,http://midorino.jp/,,,,
012319,0191200088,北海道,恵庭市,地域密着型特別養護老人ホームふる里えにわ「こぶし」,チイキミッチャクガタトクベツヨウゴロウジンホームフルサトエニワ,地域密着型介護老人福祉施設入所者生活介護,北海道恵庭市島松本町４丁目9番5号,,42.926008800000000,141.578447200000030,0123-21-8855,0123-21-8105,8430005010506,社会福祉法人健美会,0191200088,,,0,http://kenbikai.or.jp/,,,,
012319,0191200096,北海道,恵庭市,地域密着型特別養護老人ホームふる里えにわ「さくら」,チイキミッチャクガタトクベツヨウゴロウジンホームフルサトエニワ,地域密着型介護老人福祉施設入所者生活介護,恵庭市島松本町４丁目９番５号,,42.926008800000000,141.578447200000030,0123-21-8855,0123-21-8105,8430005010506,社会福祉法人健美会,0191200096,,,0,http://kenbikai.or.jp,,,,
012319,0191200062,北海道,恵庭市,ユニット型地域密着型特別養護老人ホーム恵望園はなえにわ,ユニットガタチイキミッチャクガタトクベツヨウゴロウジンホームケイボウエンハナエニワ,地域密着型介護老人福祉施設入所者生活介護,恵庭市柏木町４２９番地の１６,,42.885002200000000,141.555367299999940,0123-21-8813,0123-33-2397,9430005005926,社会福祉法人恵望会,0191200062,,,10,http://keibouen.jp/,,,,
012319,0191200070,北海道,恵庭市,地域密着型特別養護老人ホーム恵望園はなえにわ,チイキミッチャクガタトクベツヨウゴロウジンホームケイボウエンハナエニワ,地域密着型介護老人福祉施設入所者生活介護,恵庭市柏木町４２９番地の１６,,42.885002200000000,141.555367299999940,0123-21-8813,0123-33-2397,9430005005926,社会福祉法人恵望会,0191200070,,,19,http://www.keibouen.jp/,,,,
012319,0191200047,北海道,恵庭市,地域密着型特別養護老人ホーム島松ふくろうの園,チイキミッチャクガタトクベツヨウゴロウジンホームシママツフクロウノソノ,地域密着型介護老人福祉施設入所者生活介護,恵庭市南島松６番地１,,42.920362700000000,141.586110700000060,0123-36-6688,0123-36-1198,,社会福祉法人いちはつの会,0191200047,,,0,http://www.midorino.jp/,,,,
012319,0191200112,北海道,恵庭市,ユニット型地域密着型特別養護老人ホーム島松ふくろうの園,ユニットガタチイキミッチャクガタトクベツヨウゴロウジンホームシママツフクロウノソノ,地域密着型介護老人福祉施設入所者生活介護,北海道恵庭市南島松６－１,,42.921015399999990,141.586702300000070,0123-36-6688,0123-36-1198,,社会福祉法人いちはつの会,0191200112,,,0,http://www.midorino.jp/,,,,
012335,0193700069,北海道,伊達市,サテライトひまわり,サテライトヒマワリ,地域密着型介護老人福祉施設入所者生活介護,伊達市松ヶ枝町１５４番地３３,,42.477484000000000,140.884710199999970,0142-21-2711,0142-21-2714,4430005009675,社会福祉法人陵雲厚生会,0193700069,,,0,http://www.ryounkouseikai.jp/,,,,
012351,0197600349,北海道,石狩市,特別養護老人ホーム　ほとり,トクベツヨウゴロウジンホーム　ホトリ,地域密着型介護老人福祉施設入所者生活介護,石狩市花畔360番地26,,43.166830903986840,141.305544585983280,0133-77-5860,0133-77-5861,,社会福祉法人　瓔珞会,0197600349,,,0,https://yourakukai.or.jp/facilities/hotori/,,,,
012351,0197600414,北海道,石狩市,特別養護老人ホーム　ほとり,トクベツヨウゴロウジンホーム　ホトリ,地域密着型介護老人福祉施設入所者生活介護,北海道石狩市花畔360番地26,,43.166834816604450,141.305448026458750,0133-77-5860,0133-77-5861,,社会福祉法人　瓔珞会,0197600414,,,,https://yourakukai.or.jp/facilities/hotori/,,,,
012351,0197600372,北海道,石狩市,特別養護老人ホーム　はまますあいどまり,トクベツヨウゴロウジンホーム　ハママスアイドマリ,地域密着型介護老人福祉施設入所者生活介護,北海道石狩市浜益区実田９３－１７,,43.584594900000000,141.440072099999950,0133-79-5010,0133-79-5008,9430005004671,石狩市社会福祉協議会,0197600372,,,0,http://www.aidomari.jp/,,,,
015849,0193700085,北海道,洞爺湖町,地域密着型特別養護老人ホーム財田の杜,チイキミッチャクガタトクベツヨウゴロウジンホームタカラダノモリ,地域密着型介護老人福祉施設入所者生活介護,北海道虻田郡洞爺湖町川東80番地16,,42.647117700000000,140.868419700000000,0142-82-4710,0142-82-4720,3430005009759,社会福祉法人幸清会,0193700085,,,29,http://www.koseikai-wel.or.jp,,,,
013374,0191513506,北海道,七飯町,地域密着型特別養護老人ホームゆうりんⅡみどりまち,チイキミッチャクガタトクベツヨウゴロウジンホームユウリンツーミドリマチ,地域密着型介護老人福祉施設入所者生活介護,北海道亀田郡七飯町緑町３丁目１番１８号,,41.886559500000000,140.688336500000000,0138-66-6677,0138-66-6678,7440005001257,社会福祉法人　七飯有隣会,0191513506,,,0,http://www.nanaeyurinkai.or.jp,,,,
