都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
012068,0174101758,北海道,釧路市,特別養護老人ホームきんれんかの里,トクベツヨウゴロウジンホームキンレンカノサト,介護老人福祉施設,北海道釧路市愛国191番5711,,43.027731100000000,144.397579599999970,0154-38-8222,0154-38-8228,,社会福祉法人孝仁会,0174101758,,,80,http://www.k-yuwakai.or.jp,,,,
012068,0174142455,北海道,釧路市,特別養護老人ホームぬさまい,トクベツヨウゴロウジンホームヌサマイ,介護老人福祉施設,北海道釧路市幣舞町4番7号,,42.978846943746035,144.386842115483120,0154-41-2233,0154-41-2230,8460005000363,社会福祉法人扶躬会,0174142455,,,80,https://www.shafuku-fukyukai.or.jp/,,,,
012076,0174601740,北海道,帯広市,特別養護老人ホーム　帯広至心寮,トクベツヨウゴロウジンホーム　オビヒロシシンリョウ,介護老人福祉施設,北海道帯広市西5条南30丁目14番地,,42.896944100000000,143.201109299999980,0155-24-9572,0155-24-5561,2460105000459,社会福祉法人　真宗協会,0174601740,,,,http://www.shinsyukyoukai.jp,,,,
012149,0176700565,北海道,稚内市,特別養護老人ホーム稚内緑風苑,トクベツヨウゴロウジンホームワッカナイリョクフウエン,介護老人福祉施設,稚内市声問５丁目４４番１１号,,45.397822000000010,141.760535600000020,0162-26-2626,0162-26-8146,3540005002919,社会福祉法人緑ヶ丘学園,0176700565,,,0,http://www.w-midorigaoka.com/ryokufuen_home/,,,,
012131,0173600073,北海道,苫小牧市,特別養護老人ホーム　樽前慈生園,トクベツヨウゴロウジンホーム　タルマエジセイエン,介護老人福祉施設,苫小牧市字樽前２１９番地の１,,42.597731476278525,141.427523812303180,0144-67-5601,0144-67-5602,1430005008837,社会福祉法人苫小牧慈光会,0173600073,,,50,http://www.jikoukai.or.jp,,,,
012050,0173501263,北海道,室蘭市,特別養護老人ホームみたらの杜,トクベツヨウゴロウジンホームミタラノモリ,介護老人福祉施設,北海道室蘭市絵鞆町２丁目２２番地１,,42.334493599999990,140.935178100000030,0143-26-2700,0143-27-2411,,社会福祉法人幸清会,0173501263,,,0,http://www.koseikai-wel.or.jp,,,,
012157,0176100055,北海道,美唄市,特別養護老人ホーム　美唄市恵祥園,トクベツヨウゴロウジンホーム　ビバイシケイショウエン,介護老人福祉施設,北海道美唄市字峰延原野2645番地１（峰延町公園）,,43.258831970220560,141.814278626844750,0126-63-4200,,,美唄市,0176100055,,,59,http://www.city.bibai.hokkaido.jp/,,,,
012181,0177200185,北海道,赤平市,特別養護老人ホーム　赤平愛真ホーム,トクベツヨウゴロウジンホーム　アカビラアイシンホーム,介護老人福祉施設,北海道赤平市豊栄町１丁目7-1,,43.565314480566550,142.036129209262070,0125-32-2884,0125-34-2339,9430005007435,社会福祉法人赤平友愛会,0177200185,,,50,http://www.elm812.com,,,,
012238,0174200071,北海道,根室市,特別養護老人ホームはまなす園,トクベツヨウゴロウジンホームハマナスエン,介護老人福祉施設,根室市有磯町2丁目19番地2,,43.332939499999990,145.590292399999950,0153-22-3711,0153-22-8674,8460405000054,社会福祉法人根室敬愛会,0174200071,,,46,http://www.hamanasuen.com/,,,,
012238,0174200527,北海道,根室市,ユニット型特別養護老人ホームはまなす園,ユニットガタトクベツヨウゴロウジンホームハマナスエン,介護老人福祉施設,根室市有磯町2丁目21番地,,43.333427266376304,145.590403242605620,0153-22-3711,0153-22-8674,8460405000054,社会福祉法人根室敬愛会,0174200527,,,40,http://www.hamanasuen.com/,,,,
012203,0173200593,北海道,士別市,特別養護老人ホーム士別コスモス苑,トクベツヨウゴロウジンホームシベツコスモスエン,介護老人福祉施設,士別市東9条2丁目2番地,,44.180969800000000,142.404336300000070,0165-22-2280,0165-22-3733,,士別市,0173200593,,,0,http://www.city.shibetsu.lg.jp/www/contents/1250838870199/index.html,,,,
012335,0173700030,北海道,伊達市,特別養護老人ホームひまわり,トクベツヨウゴロウジンホームヒマワリ,介護老人福祉施設,北海道伊達市松ヶ枝町154番地30,,42.477484000000000,140.884607500000010,0142-21-2711,0142-21-2714,4430005009675,社会福祉法人陵雲厚生会,0173700030,,,0,http://www.ryounkouseikai.jp/,,,,
015644,0175200286,北海道,大空町,特別養護老人ホーム東藻琴福寿苑ユニット館,トクベツヨウゴロウジンホームヒガシモコトフクジュエンユニットカン,介護老人福祉施設,北海道網走郡大空町東藻琴３８３番地の３５特別養護老人ホーム東藻琴福寿苑ユニット館,特別養護老人ホーム東藻琴福寿苑ユニット館,43.840371200000000,144.292630000000030,0152-67-5160,0152-67-5085,9460305001416,社会福祉法人東藻琴福祉会,0175200286,,,,http://www.fukujyuen.info//,,,,
015849,0173700121,北海道,洞爺湖町,特別養護老人ホーム　幸楽園,トクベツヨウゴロウジンホーム　コウラクエン,介護老人福祉施設,北海道虻田郡洞爺湖町清水４３４番地ふる里の丘総合福祉館,ふる里の丘総合福祉館,42.558783400000000,140.745855500000060,0142-76-4309,0142-76-4805,3430005009759,社会福祉法人　幸清会,0173700121,,,60,http://www.koseikai-wel.or.jp,,,,
013340,0171501844,北海道,木古内町,木古内町特別養護老人ホームいさりび,キコナイチョウトクベツヨウゴロウジンホームイサリビ,介護老人福祉施設,北海道上磯郡木古内町字本町704番地,,41.675994700000000,140.438573600000040,01392-2-5700,01392-2-5757,,木古内町,0171501844,,,,https://isaribi.org,,,,
014001,0172200032,北海道,倶知安町,特別養護老人ホーム羊蹄ハイツ,トクベツヨウゴロウジンホームヨウテイハイツ,介護老人福祉施設,北海道虻田郡倶知安町字峠下１１３番地２,,42.922657400000000,140.739676000000030,0136-22-3131,0136-22-0091,9430005008375,社会福祉法人倶知安福祉会,0172200032,,,0,http://yotei-heights.com/,,,,
015865,0173600180,北海道,むかわ町,特別養護老人ホーム愛誠園,トクベツヨウゴロウジンホームアイセイエン,介護老人福祉施設,北海道勇払郡むかわ町穂別８０番地１０,,42.766408100000000,142.136950599999980,0145-45-2455,0145-45-3055,,社会福祉法人愛誠会,0173600180,,,100,http://www.hobetsu-aiseikai.or.jp/,,,,
014273,0175800465,北海道,由仁町,ユンニこもれびの家,ユンニコモレビノイエ,介護老人福祉施設,北海道夕張郡由仁町東栄86番地,,43.009951200000000,141.788604200000000,0123-82-2222,0123-82-2221,7430005004830,社会福祉法人　水の会,0175800465,,,0,http://www.mizunokai.ed.jp/komorebinoie/,,,,
014311,0177100096,北海道,浦臼町,特別養護老人ホームゆうあいの郷,トクベツヨウゴロウジンホームユウアイノサト,介護老人福祉施設,北海道樺戸郡浦臼町字キナウスナイ188番地の70,,43.450856800000000,141.837298299999930,0125-68-2711,0125-67-3117,6450005001595,社会福祉法人揺籃会,0177100096,,,0,http://www.yuuainosato.com/,,,,
014320,0177100369,北海道,新十津川町,特別養護老人ホームかおる園,トクベツヨウゴロウジンホームカオルエン,介護老人福祉施設,樺戸郡新十津川町字花月２０１番地１,,43.499371800000006,141.860056999999980,0125-74-2211,0125-74-2212,6430005007438,社会福祉法人明和会,0177100369,,,100,http://www.maywakai.or.jp/kaoru/index.php,,,,
014389,0177400165,北海道,沼田町,沼田町特別養護老人ホーム旭寿園,ヌマタチョウトクベツヨウゴロウジンホームキョクジュエン,介護老人福祉施設,雨竜郡沼田町旭町3丁目5番25号,,43.806372100000000,141.943498399999950,0164-35-2611,0164-35-2658,,沼田町,0177400165,,,80,https://kyokujyuen.wixsite.com/numata,,,,
014575,0173100074,北海道,上川町,上川町特別養護老人ホーム大雪荘,カミカワチョウトクベツヨウゴロウジンホームタイセツソウ,介護老人福祉施設,北海道上川郡上川町西町４番地１,,43.854898500000000,142.759445499999970,01658-2-3333,01658-2-3331,,社会福祉法人かみかわ福寿園,0173100074,,,0,http://kamikawa-fukujuen.jp/,,,,
014613,0173000076,北海道,中富良野町,中富良野町特別養護老人ホームこぶし苑,ナカフラノチョウトクベツヨウゴロウジンホームコブシエン,介護老人福祉施設,空知郡中富良野町東町３番８号,,43.404118000000000,142.427486400000020,0167-44-2000,0167-44-2900,,中富良野町,0173000076,,,0,http://www.town.nakafurano.lg.jp,,,,
014613,0173000498,北海道,中富良野町,中富良野町特別養護老人ホーム　こぶし苑　ラベンダー棟,ナカフラノチョウトクベツヨウゴロウジンホーム　コブシエン　ラベンダートウ,介護老人福祉施設,北海道空知郡中富良野町東町３番８号中富良野町特別養護老人ホーム　こぶし苑　ラベンダー棟,中富良野町特別養護老人ホーム　こぶし苑　ラベンダー棟,43.404106900000000,142.427461399999970,0167-44-2000,0167-44-2900,,中富良野町,0173000498,,,,http://www.town.nakafurano.lg.jp,,,,
015202,0176700169,北海道,幌延町,特別養護老人ホームこざくら荘,トクベツヨウゴロウジンホームコザクラソウ,介護老人福祉施設,北海道天塩郡幌延町1条北2丁目1番3号,,45.017388800000010,141.844365100000000,01632-5-1181,01632-5-1182,7450005003005,社会福祉法人幌延福祉会,0176700169,,,35,http://kozakura-horonobe.jp/,,,,
015598,0175400357,北海道,湧別町,社会福祉法人上湧別福祉会　特別養護老人ホーム湧愛園,シャカイフクシホウジンカミユウベツフクシカイ　トクベツヨウゴロウジンホームユウアイエン,介護老人福祉施設,北海道紋別郡湧別町上湧別屯田市街地３３６番地の１,,44.153592600000000,143.574290700000000,01586-2-3151,01586-2-3152,4460305000967,社会福祉法人上湧別福祉会,0175400357,,,0,https://kamiyuubetsufukushi.hp-ez.com,,,,
015784,0173602814,北海道,白老町,友活の里,トモイキノサト,介護老人福祉施設,北海道白老郡白老町字竹浦132番地,,42.471054200000000,141.230755700000000,0144-87-2611,0144-87-6333,,社会福祉法人　天寿会,0173602814,,,,,,,,
016489,0174700278,北海道,陸別町,特別養護老人ホームしらかば苑,トクベツヨウゴロウジンホームシラカバエン,介護老人福祉施設,足寄郡陸別町字陸別原野基線３２１番地の５,,43.465006200000000,143.747654000000000,0156-27-3803,0156-27-3736,5460105001405,社会福祉法人北勝光生会,0174700278,,,0,http://www.rikubetsu.or.jp/,,,,
016683,0174300582,北海道,白糠町,特別養護老人ホーム清和園,トクベツヨウゴロウジンホーム　セイワエン,介護老人福祉施設,北海道白糠郡白糠町和天別100番地1,,42.962165302181660,144.048102731158540,01547-2-3200,01547-2-3213,1460005001293,孝仁会,0174300582,,,72,http://k-yuwakai.or.jp/seiwaen.html,,,,
016659,0174300640,北海道,弟子屈町,ＪＡ北海道厚生連特別養護老人ホーム摩周,ジェイエーホッカイドウコウセイレントクベツヨウゴロウジンホームマシュウ,介護老人福祉施設,北海道川上郡弟子屈町泉２丁目３番７－２号,,43.480279000000000,144.463528900000030,015-482-5337,015-482-5380,2430005003069,北海道厚生農業協同組合連合会,0174300640,,,0,http://www.dou-kouseiren.com/,,,,
012360,0171500275,北海道,北斗市,特別養護老人ホーム　美ヶ丘敬楽荘,トクベツヨウゴロウジンホーム　ウツクシガオカケイラクソウ,介護老人福祉施設,北海道北斗市向野2丁目19-18,,41.887709944688950,140.634928098282220,0138-77-7345,0138-77-6640,,社会福祉法人　函館緑花会,0171500275,,,0,http://hakodateryokkakai.com/,,,,
012025,0171400211,北海道,函館市,福寿荘さくら館,フクジュソウサクラカン,介護老人福祉施設,函館市石川町１８９－１９,,41.836325400000000,140.741642599999980,0138-34-7101,0138-34-7112,8440005000373,社会福祉法人　函館仁愛会,0171400211,,,0,http://www.jinaikai.net,,,,
012025,0171402522,北海道,函館市,ももハウス,モモハウス,介護老人福祉施設,函館市赤川町390番地の2,,41.836576300000000,140.769568700000040,0138-47-3335,0138-47-3336,9440005000348,社会福祉法人函館厚生院,0171402522,,,0,http://momo-house.koseiin.or.jp/,,,,
012025,0171400948,北海道,函館市,特別養護老人ホーム　シンフォニー,トクベツヨウゴロウジンホーム　シンフォニー,介護老人福祉施設,北海道函館市中野町７４－１,,41.763353600000000,140.839165900000000,0138-58-2000,0138-58-1500,9440005001206,社会福祉法人　禎人会,0171400948,,,100,https://www.behappy-symphony.com/,,,,
012025,0171500184,北海道,函館市,特別養護老人ホ－ム恵楽園,トクベツヨウゴロウジンホームケイラクエン,介護老人福祉施設,北海道函館市柏野町１１７番地,,41.790963000000000,141.154155700000050,0138-85-2893,0138-85-2894,5440005000384,社会福祉法人恵山恵愛会,0171500184,,,50,http://www.esan-keiaikai.com/,,,,
012025,0171403579,北海道,函館市,特別養護老人ホームあい亀田港,トクベツヨウゴロウジンホームアイカメダミナト,介護老人福祉施設,北海道函館市亀田港町56番12号,,41.811829126249980,140.721785152917500,0138-62-6300,0138-62-6622,,社会福祉法人心侑会,0171403579,,,60,http://ai-sinyukai.com/,,,,
012025,0171400021,北海道,函館市,特別養護老人ホーム幸成園,トクベツヨウゴロウジンホームコウセイエン,介護老人福祉施設,函館市桔梗町４３５－２８,,41.846541100000000,140.742511700000020,0138-47-1113,0138-47-1114,1440005000371,社会福祉法人函館幸成会,0171400021,,,0,http://www.kouseien.jp,,,,
012025,0171403595,北海道,函館市,特別養護老人ホーム幸成園,トクベツヨウゴロウジンホームコウセイエン,介護老人福祉施設,函館市桔梗町435番地28,,41.846541100000000,140.742511700000020,0138-47-1113,0138-47-1114,1440005000371,社会福祉法人函館幸成会,0171403595,,,0,http://www.kouseien.jp,,,,
012025,0171400229,北海道,函館市,特別養護老人ホーム函館はくあい園,トクベツヨウゴロウジンホームハコダテハクアイエン,介護老人福祉施設,北海道函館市吉川町３番１６号,,41.792293900000000,140.728512300000030,0138-45-5250,0138-45-5251,6440005000375,函館松寿会,0171400229,,,50,http://www.h-shoujukai.com/,,,,
012025,0171403587,北海道,函館市,特別養護老人ホーム函館はくあい園,トクベツヨウゴロウジンホームハコダテハクアイエン,介護老人福祉施設,北海道函館市吉川町３番１６号,,41.792293900000000,140.728512300000030,0138-45-5250,0138-45-5251,6440005000375,社会福祉法人函館松寿会,0171403587,,,50,http://www.h-shoujukai.com/,,,,
012025,0171400294,北海道,函館市,旭ヶ岡の家介護老人福祉施設,アサヒガオカノイエカイゴロウジンフクシシセツ,介護老人福祉施設,北海道函館市旭岡町78番地,,41.807304461994620,140.843589443516550,0138-50-2121,0138-50-2122,,社会福祉法人函館カリタスの園,0171400294,,,0,http://www.asahigaoka.jp/,,,,
012025,0171400237,北海道,函館市,特別養護老人ホーム　百楽園,トクベツヨウゴロウジンホーム　ヒャクラクエン,介護老人福祉施設,北海道函館市高丘町3番1号,,41.787626141825946,140.801351936909440,0138-57-7418,0138-57-7598,9440005000348,社会福祉法人函館厚生院,0171400237,,,100,http://www.koseiin.or.jp/,,,,
012025,0171403744,北海道,函館市,特別養護老人ホーム倶有,トクベツヨウゴロウジンホームクユウ,介護老人福祉施設,北海道函館市松風町19番18号,,41.773531800000010,140.731712799999970,0138-24-2255,0138-22-1125,9440005001222,社会福祉法人函館大庚会,0171403744,,,0,http://www.hakodate-taikoukai.jp/,,,,
012025,0171400203,北海道,函館市,介護老人福祉施設　函館共愛会愛泉寮,カイゴロウジンフクシシセツ　ハコダテキョウアイカイアイセンリョウ,介護老人福祉施設,北海道函館市中島町35番7号,,41.786175400000000,140.741314300000000,0138-52-1065,0138-52-1028,,社会福祉法人函館共愛会,0171400203,,,160,http://aisenryou-kyouai-kai.jp/,,,,
012025,0171403603,北海道,函館市,特別養護老人ホーム　桔梗みのりの里,トクベツヨウゴロウジンホーム　キキョウミノリノサト,介護老人福祉施設,北海道函館市桔梗1-3-8,,41.829823100000000,140.730802000000040,0138-46-5151,0138-46-3130,2440005000379,社会福祉法人敬聖会,0171403603,,,100,http://keiseikai-h.or.jp/minorihp/index.html,,,,
012025,0171401490,北海道,函館市,特別養護老人ホーム　おおぞら,トクベツヨウゴロウジンホームオオゾラ,介護老人福祉施設,北海道函館市銅山町12番地,,41.792527799999990,140.815014199999950,0138-36-1100,0138-36-1103,6440005000367,社会福祉法人函館愛育会,0171401490,,,0,http://oozora-tokuyou.com/,,,,
012025,0171500283,北海道,函館市,特別養護老人ホーム潮寿荘,トクベツヨウゴロウジンホームチョウジュソウ,介護老人福祉施設,北海道函館市釜谷町６０５番地１,,41.736761700000000,140.938472500000000,0138-82-3535,0138-82-3563,,社会福祉法人戸井福祉会,0171500283,,,50,http://www.hakotoi.com,,,,
012033,0172002420,北海道,小樽市,特別養護老人ホーム東小樽,トクベツヨウゴロウジンホームヒガシオタル,介護老人福祉施設,北海道小樽市新光2丁目29番3号東小樽病院,東小樽病院,43.168429575396445,141.052944809262040,0134-52-3200,0134-52-3205,1430005007756,社会福祉法人小樽北勉会,0172002420,,,,http://www.nakagaki-hp.or.jp,,,,
012033,0172000051,北海道,小樽市,特別養護老人ホームはる,トクベツヨウゴロウジンホームハル,介護老人福祉施設,小樽市赤岩２丁目１８番２２号,,43.225102500000000,140.993756800000030,0134-31-2222,0134-31-2260,,社会福祉法人ノマド福祉会,0172000051,,,0,http://www.nomad-haru.com/,,,,
012033,0172000036,北海道,小樽市,特別養護老人ホーム　望海荘,ボウカイソウ,介護老人福祉施設,北海道小樽市新光４丁目２８番６号,,43.164838400000000,141.055383000000000,0134-54-1511,0134-54-5678,,小　樽　北　勉　会,0172000036,,,0,,,,,
012033,0172001125,北海道,小樽市,特別養護老人ホーム朝里温泉,トクベツヨウゴロウジンホームアサリオンセン,介護老人福祉施設,小樽市朝里川温泉２丁目７０８番地１,,43.150520300000000,141.042392999999950,0134-54-9001,0134-54-9005,,社会福祉法人　小樽北勉会,0172001125,,,80,http://www.nakagaki-hp.or.jp,,,,
012033,0172000044,北海道,小樽市,特別養護老人ホーム　やすらぎ荘,トクベツヨウゴロウジンホーム　ヤスラギソウ,介護老人福祉施設,北海道小樽市オタモイ1丁目20番18号,,43.219610900000000,140.958901500000020,0134-28-2500,0134-26-2476,5430005007752,社会福祉法人　小樽育成院,0172000044,,,100,http://www.otaru-ikuseiin.com/,,,,
012041,0172900185,北海道,旭川市,特別養護老人ホーム敬生園,トクベツヨウゴロウジンホームケイセイエン,介護老人福祉施設,北海道旭川市末広8条6丁目5305番地,,43.821374800000000,142.372640000000050,0166-51-5115,0166-51-5116,8450005000249,社会福祉法人敬生会,0172900185,,,110,http://www.keiseikai.ne.jp/index.html,,,,
012041,0172901027,北海道,旭川市,特別養護老人ホーム永山園,トクベツヨウゴロウジンホームナガヤマエン,介護老人福祉施設,旭川市永山町15丁目116番地4,,43.821661885586980,142.462593874591000,0166-48-3033,0166-40-0130,,湯らん福祉会,0172901027,,,0,http://www.youranfukushikai.jp/nagayama/,,,,
012041,0172904567,北海道,旭川市,特別養護老人ホーム楽生園,トクベツヨウゴロウジンホームラクセイエン,介護老人福祉施設,北海道旭川市1条通12丁目177番2,,43.763452999999940,142.365335900000000,0166-27-0070,0166-27-0033,9450005001535,社会福祉法人楽生会,0172904567,,,0,https://rakuseikai.org/,,,,
012041,0172900045,北海道,旭川市,特別養護老人ホーム　緑が丘あさひ園,トクベツヨウゴロウジンホーム　ミドリガオカアサヒエン,介護老人福祉施設,北海道旭川市緑が丘東１条２丁目１番２１号,,43.728858100000000,142.389432400000030,0166-66-2666,0166-66-2100,7450005000233,社会福祉法人旭川三和会,0172900045,,,60,http://www.asahisanwa.org/,,,,
012041,0172903445,北海道,旭川市,特別養護老人ホーム宏生苑,トクベツヨウゴロウジンホームコウセイエン,介護老人福祉施設,旭川市東旭川町上兵村５５６番地４,,43.767619800000000,142.446496199999960,0166-37-3885,0166-37-3870,,社会福祉法人東旭川宏生会,0172903445,,,0,http://www.h-kouseikai.jp,,,,
012041,0172904393,北海道,旭川市,特別養護老人ホーム末広たいせつの郷,トクベツヨウゴロウジンホームスエヒロタイセツノサト,介護老人福祉施設,北海道旭川市末広東1条13丁目2番34号,,43.814879599999990,142.404851199999940,0166-58-5566,0166-58-5568,,社会福祉法人　旭川たいせつ福祉会,0172904393,,,100,http://www.taisetsu-sato.jp/,,,,
012041,0172900771,北海道,旭川市,介護老人福祉施設　特別養護老人ホーム　たいせつの郷,カイゴロウジンフクシシセツ　トクベツヨウゴロウジンホーム　タイセツノサト,介護老人福祉施設,北海道旭川市東鷹栖２線１８号１０４５番地,,43.848022100000010,142.444495400000050,0166-58-3333,0166-58-3334,3450005000245,社会福祉法人　旭川たいせつ福祉会,0172900771,,,80,http://www.taisetsu-sato.jp,,,,
012041,0172900771,北海道,旭川市,介護老人福祉施設ユニット型特別養護老人ホームたいせつの郷,カイゴロウジンフクシシセツユニットガタトクベツヨウゴロウジンホームタイセツノサト,介護老人福祉施設,北海道旭川市東鷹栖２線１８号1045番地,,43.848028000000000,142.444622300000000,0166-58-3333,0166-58-3334,3450005000245,社会福祉法人　旭川たいせつ福祉会,0172900771,,,80,https://www.taisetsu-sato.jp/,,,,
012041,0172900078,北海道,旭川市,特別養護老人ホーム　誠徳園,トクベツヨウゴロウジンホーム　セイトクエン,介護老人福祉施設,旭川市末広８条６丁目５３０７番地,,43.819683400000000,142.373348399999940,0166-51-1126,0166-54-7972,1450005000222,社会福祉法人旭川福祉事業会,0172900078,,,0,http://www.a-fukushi.or.jp/,,,,
012041,0172907198,北海道,旭川市,特別養護老人ホーム旭川ねむのきの華,トクベツヨウゴロウジンホームアサヒカワネムノキノハナ,介護老人福祉施設,北海道旭川市忠和4条2丁目10番23号,,43.780996500000000,142.310690300000030,0166-61-3277,0166-61-3288,6450005000226,社会福祉法人旭川ねむのき会,0172907198,,,80,http://nemunokikai.hjk.ne.jp/,,,,
012041,0172901126,北海道,旭川市,特別養護老人ホーム共生園,トクベツヨウゴロウジンホームキョウセイエン,介護老人福祉施設,北海道旭川市東旭川町共栄１２３番地,,43.743230500000000,142.428566000000050,0166-33-8000,0166-33-8020,6450005000969,社会福祉法人　旭川共生会,0172901126,,,0,http://www.a-kyouseikai.jp/,,,,
012041,0172905887,北海道,旭川市,特別養護老人ホーム共生園Ⅲ,トクベツヨウゴロウジンホームキョウセイエンスリー,介護老人福祉施設,北海道旭川市東旭川町共栄123番地,,43.743225000000000,142.428590999999980,0166-33-8000,0166-33-8020,6450005000969,社会福祉法人　旭川共生会,0172905887,,,0,http://www.a-kyouseikai.jp/,,,,
012041,0172900193,北海道,旭川市,特別養護老人ホーム旭川のなか園,トクベツヨウゴロウジンホームアサヒカワノナカエン,介護老人福祉施設,旭川市神居9条3丁目19番地2,,43.764465300000020,142.321798500000000,0166-62-1111,0166-61-2299,4450005000236,旭川小泉福祉会,0172900193,,,0,http://www.koizumi-hukushikai.or.jp/,,,,
012041,0172900474,北海道,旭川市,特別養護老人ホーム旭川緑苑・ユニット型特別養護老人ホーム旭川緑苑,トクベツヨウゴロウジンホームアサヒカワミドリエン・ユニットガタトクベツヨウゴロウジンホームアサヒカワミドリエン,介護老人福祉施設,旭川市東旭川町上兵村229番地の8,,43.775657900000000,142.451209400000040,0166-36-6338,0166-36-6339,,社会福祉法人旭川緑光会,0172900474,,,90,http://www.ryokkokai.com/,,,,
012041,0172900201,北海道,旭川市,特別養護老人ホーム　養生の杜カムイ,トクベツヨウゴロウジンホーム　ヨウジョウノモリカムイ,介護老人福祉施設,北海道旭川市永山町５丁目１３６番地の１,,43.786261600000000,142.432152500000030,0166-47-7730,0166-47-7672,,社会福祉法人　　慶友会,0172900201,,,0,http://www.keiyukai-group.com/kamui/,,,,
012041,0172906125,北海道,旭川市,特別養護老人ホーム　仁慈苑,トクベツヨウゴロウジンホーム　ジンシエン,介護老人福祉施設,旭川市神楽3条12丁目1番8号,,43.753070699999990,142.358781400000000,0166-63-8700,0166-63-8701,3450005000253,社会福祉法人慶友会,0172906125,,,0,http://www.keiyukai-group.com/jinshien/,,,,
